Mockler Lab Box ID,Genotype,Collection_location,Ploidy,Latitude (DMS),Longitude (DMS),Latitude,Longitude,Elevation,Citation,For seeds contact,,,,,,,,,,
40,Kah-3,"Kahta, Turkey",diploid,"37° 44' 2.3""N","38° 32' 0.2""E",37.733889,38.533333,665,3,John Vogel (John.Vogel@ars.usda.gov),"4675560: 37.72917,38.52083",,,,,,,,,
41,Kah-4,"Kahta, Turkey",diploid,"37° 44' 2.3""N","38° 32' 0.2""E",37.733889,38.533333,665,3,John Vogel (John.Vogel@ars.usda.gov),"4675560: 37.72917,38.52083",,,,,,,,,
42,Kah-5,"Kahta, Turkey",diploid,"37° 44' 2.3""N","38° 32' 0.2""E",37.733889,38.533333,665,3,John Vogel (John.Vogel@ars.usda.gov),"4675560: 37.72917,38.52083",,,,,,,,,
43,Kah-6,"Kahta, Turkey",diploid,"37° 44' 2.3""N","38° 32' 0.2""E",37.733889,38.533333,665,3,John Vogel (John.Vogel@ars.usda.gov),"4675560: 37.72917,38.52083",,,,,,,,,
44,Koz-1,"Kozluk, Turkey",diploid,"38° 9' 8.2.6""N","41° 36' 34.8""E",38.152222,41.609722,853,3,John Vogel (John.Vogel@ars.usda.gov),"NA, closest was 36 or 41 for lat",,,,,,,,,
45,Koz-2,"Kozluk, Turkey",diploid,"38° 9' 8.2.6""N","41° 36' 34.8""E",38.152222,41.609722,853,3,John Vogel (John.Vogel@ars.usda.gov),"NA, closest was 36 or 41 for lat",,,,,,,,,
46,Koz-3,"Kozluk, Turkey",diploid,"38° 9' 8.2.6""N","41° 36' 34.8""E",38.152222,41.609722,853,3,John Vogel (John.Vogel@ars.usda.gov),"NA, closest was 36 or 41 for lat",,,,,,,,,
47,Koz-4,"Kozluk, Turkey",diploid,"38° 9' 8.2.6""N","41° 36' 34.8""E",38.152222,41.609722,853,3,John Vogel (John.Vogel@ars.usda.gov),"NA, closest was 36 or 41 for lat",,,,,,,,,
48,Koz-5,"Kozluk, Turkey",diploid,"38° 9' 8.2.6""N","41° 36' 34.8""E",38.152222,41.609722,853,3,John Vogel (John.Vogel@ars.usda.gov),"NA, closest was 36 or 41 for lat",,,,,,,,,
49,Tek-1,"Tekirdag, Turkey",diploid,"41° 0' 40.1""N","27° 31' 8.8""E",41.011111,27.519167,20,3,John Vogel (John.Vogel@ars.usda.gov),"5649499: 41.02083,27.52083",,,,,,,,,
50,Tek-2,"Tekirdag, Turkey",diploid,"41° 0' 40.1""N","27° 31' 8.8""E",41.011111,27.519167,20,3,John Vogel (John.Vogel@ars.usda.gov),"5649499: 41.02083,27.52083",,,,,,,,,
51,Tek-3,"Tekirdag, Turkey",diploid,"41° 0' 40.1""N","27° 31' 8.8""E",41.011111,27.519167,20,3,John Vogel (John.Vogel@ars.usda.gov),"5649499: 41.02083,27.52083",,,,,,,,,
52,Tek-4,"Tekirdag, Turkey",diploid,"41° 0' 40.1""N","27° 31' 8.8""E",41.011111,27.519167,20,3,John Vogel (John.Vogel@ars.usda.gov),"5649499: 41.02083,27.52083",,,,,,,,,
53,Tek-5,"Tekirdag, Turkey",diploid,"41° 0' 40.1""N","27° 31' 8.8""E",41.011111,27.519167,20,3,John Vogel (John.Vogel@ars.usda.gov),"5649499: 41.02083,27.52083",,,,,,,,,
54,Tek-6,"Tekirdag, Turkey",diploid,"41° 0' 40.1""N","27° 31' 8.8""E",41.011111,27.519167,20,3,John Vogel (John.Vogel@ars.usda.gov),"5649499: 41.02083,27.52083",,,,,,,,,
55,Tek-7,"Tekirdag, Turkey",diploid,"41° 0' 40.1""N","27° 31' 8.8""E",41.011111,27.519167,20,3,John Vogel (John.Vogel@ars.usda.gov),"5649499: 41.02083,27.52083",,,,,,,,,
56,Tek-8,"Tekirdag, Turkey",diploid,"41° 0' 40.1""N","27° 31' 8.8""E",41.011111,27.519167,20,3,John Vogel (John.Vogel@ars.usda.gov),"5649499: 41.02083,27.52083",,,,,,,,,
57,Tek-9,"Tekirdag, Turkey",diploid,"41° 0' 40.1""N","27° 31' 8.8""E",41.011111,27.519167,20,3,John Vogel (John.Vogel@ars.usda.gov),"5649499: 41.02083,27.52083",,,,,,,,,
58,Tek-10,"Tekirdag, Turkey",diploid,"41° 0' 40.1""N","27° 31' 8.8""E",41.011111,27.519167,20,3,John Vogel (John.Vogel@ars.usda.gov),"5649499: 41.02083,27.52083",,,,,,,,,
59,Tek-11,"Tekirdag, Turkey",diploid,"41° 0' 40.1""N","27° 31' 8.8""E",41.011111,27.519167,20,3,John Vogel (John.Vogel@ars.usda.gov),"5649499: 41.02083,27.52083",,,,,,,,,
60,Tek-12,"Tekirdag, Turkey",diploid,"41° 0' 40.1""N","27° 31' 8.8""E",41.011111,27.519167,20,3,John Vogel (John.Vogel@ars.usda.gov),"5649499: 41.02083,27.52083",,,,,,,,,
61,BdTR1A,Turkey,diploid,"41° 25'17.86""N","27° 28'36.81""E",41.421667,27.476944,124,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5653039: 41.43750,27.47917",,,,,,,,,
62,BdTR1B,Turkey,diploid,"41° 5'7.15""N","26° 55'53.29""E",41.085278,26.931389,141,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5698654: 41.10417,26.9375",,,,,,,,,
63,BdTR1C,Turkey,diploid,"39° 44'17.39""N","28° 2'24.71""E",39.738056,28.040278,363,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5606806: 39.72917,28.02083",,,,,,,,,
64,BdTR1D,Turkey,diploid,"38° 45'50.79""N","28° 35'6.42""E",38.764167,28.585000,612,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5556443: 38.77083,28.60417",,,,,,,,,
65,BdTR1E,Turkey,diploid,"38° 25'0.42""N","28° 1'52.75""E",38.416667,28.031389,986,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5606775: 38.43750,28.02083",,,,,,,,,
66,BdTR1F,Turkey,diploid,"41° 25'17.86""N","27° 28'36.81""E",41.421667,27.476944,124,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5653039: 41.43750,27.47917",,,,,,,,,
67,BdTR1G,Turkey,diploid,"41° 5'7.15""N","26° 55'53.29""E",41.085278,26.931389,141,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5698654: 41.10417,26.9375",,,,,,,,,
68,BdTR1H,Turkey,diploid,"39° 44'17.39""N","28° 2'24.71""E",39.738056,28.040278,363,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5606806: 39.72917,28.02083",,,,,,,,,
69,BdTR1I,Turkey,diploid,"38° 5'35.03""N","28° 34'59.02""E",38.093056,28.583056,841,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5556427: 38.10417,28.60417",,,,,,,,,
70,BdTR1J,Turkey,diploid,"37° 25'38.24""N","28° 35'6.75""E",37.427222,28.585278,513,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5556411: 37.43750,28.60417",,,,,,,,,
71,BdTR1K,Turkey,diploid,"39° 45'34.18""N","29° 40'40.96""E",39.759444,29.678056,1007,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5461772: 39.77083,29.6875",,,,,,,,,
72,BdTR1M,Turkey,diploid,"39° 5'12.20""N","30° 15'8.93""E",39.086667,30.252500,1076,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5408371: 39.10417,30.27083",,,,,,,,,
73,BdTR1N,Turkey,diploid,"38° 5'59.53""N","30° 14'44.11""E",39.099722,30.245556,1034,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5412015: 30.10417,30.22917",,,,,,,,,
74,BdTR2A,Turkey,diploid,"39° 45'10.62""N","30° 47'19.07""E",39.753056,30.788611,932,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,"5361581: 39.77083,30.77083",,,,,,,,,
75,BdTR2B,Turkey,diploid,"40° 4'55.55""N","31° 19'52.01""E",40.082222,31.331111,667,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
76,BdTR2C,Turkey,diploid,"39° 5'8.89""N","31° 53'29.40""E",39.085833,31.891389,864,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
77,BdTR2D,Turkey,diploid,"38° 25'46.78""N","31° 18'33.71""E",38.429722,31.309444,1301,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
78,BdTR2E,Turkey,diploid,"38° 25'40.97""N","32° 24'16.47""E",38.428056,32.404444,1012,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
79,BdTR2F,Turkey,diploid,"37° 46'41.64""N","31° 53'5.68""E",37.778333,31.885000,1288,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
80,BdTR2G,Turkey,diploid,"40° 23'37.13""N","32° 59'7.32""E",40.393611,32.985278,1596,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
81,BdTR2H,Turkey,diploid,"39° 45'23.35""N","32° 25'56.46""E",39.756389,32.432222,787,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
82,BdTR2I,Turkey,diploid,"39° 45'16.02""N","33° 32'16.37""E",39.754444,33.537778,872,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
83,BdTR2J,Turkey,diploid,"39° 24'46.28""N","32° 59'17.24""E",39.412778,32.988056,1192,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
84,BdTR2K,Turkey,diploid,"38° 45'28.75""N","34° 4'18.34""E",39.758056,34.071667,1142,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
85,BdTR2M,Turkey,diploid,"38° 5'52.78""N","34° 5'40.38""E",38.098056,34.094444,1406,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
86,BdTR2N,Turkey,diploid,"37° 46'4.28""N","33° 31'10.58""E",37.767778,33.519722,1013,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
87,BdTR2O,Turkey,diploid,"39° 45'23.35""N","32° 25'56.46""E",39.756389,32.432222,787,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
88,BdTR2P,Turkey,diploid,"39° 45'16.02""N","33° 32'16.37""E",39.754444,33.537778,872,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
89,BdTR2R,Turkey,diploid,"39° 24'46.28""N","32° 59'17.24""E",39.412778,32.988056,1192,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
90,BdTR2S,Turkey,diploid,"38° 45'28.75""N","34° 4'18.34""E",39.758056,34.071667,1142,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
91,BdTR3A,Turkey,diploid,"37° 46'4.28""N","33° 31'10.58""E",37.767778,33.519722,1013,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
92,BdTR3B,Turkey,diploid,"37° 6'31.87""N","34° 4'17.06""E",37.108889,34.071389,2385,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
93,BdTR3C,Turkey,diploid,"36° 46'58.92""N","32° 57'46.71""E",36.783056,32.963056,1957,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
94,BdTR3D,Turkey,diploid,"40° 24'19.91""N","34° 38'10.10""E",40.405556,34.636111,1088,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
95,BdTR3E,Turkey,diploid,"39° 44'53.45""N","34° 39'1.15""E",39.748056,34.650278,1035,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
96,BdTR3F,Turkey,diploid,"39° 5'31.64""N","35° 11'18.62""E",39.092222,35.188611,1249,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
97,BdTR3G,Turkey,diploid,"38° 24'16.86""N","35° 9'34.32""E",38.404722,35.159444,1086,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
98,BdTR3H,Turkey,diploid,"37° 46'43.23""N","35° 12'9.55""E",37.778611,35.202778,3196,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
99,BdTR3I,Turkey,diploid,"39° 44'51.33""N","36° 48'56.85""E",39.747500,36.815833,1574,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
100,BdTR3J,Turkey,diploid,"38° 45'25.33""N","36° 16'56.90""E",38.756944,36.282500,1849,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
101,BdTR3K,Turkey,diploid,"38° 25'12.10""N","37° 23'26.99""E",38.420000,37.390833,1709,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
102,BdTR3M,Turkey,diploid,"37° 45'58.01""N","37° 53'23.56""E",37.766111,37.890000,614,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
103,BdTR3N,Turkey,diploid,"37° 26'4.39""N","36° 49'9.55""E",37.434444,36.819444,787,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
104,BdTR3O,Turkey,diploid,"37° 7'2.52""N","39° 1'49.56""E",37.117500,39.030556,448,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
105,BdTR3P,Turkey,diploid,"37° 45'41.57""N","39° 34'56.72""E",37.761667,39.582500,1156,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
106,BdTR3R,Turkey,diploid,"37° 26'13.88""N","40° 7'50.51""E",37.437222,40.130833,710,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
107,BdTR3S,Turkey,diploid,"38° 5'43.50""N","40° 39'30.84""E",38.095556,40.658611,688,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
108,BdTR3T,Turkey,diploid,"37° 27'31.68""N","41° 14'39.03""E",37.458889,41.244167,975,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
109,BdTR5A,Turkey,diploid,"36° 45'59.24""N","44° 32'6.90""E",36.766389,44.535278,886,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
110,BdTR5B,Turkey,diploid,"37° 46'43.23""N","35° 12'9.55""E",37.778611,35.202778,3196,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
111,BdTR5C,Turkey,diploid,"39° 44'51.33""N","36° 48'56.85""E",39.747500,36.815833,1574,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
112,BdTR5D,Turkey,diploid,"38° 25'40.97""N","32° 24'16.47""E",38.428056,32.404722,1012,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
113,BdTR5E,Turkey,diploid,"37° 46'41.64""N","31° 53'5.68""E",37.778333,31.885000,1288,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
114,BdTR5F,Turkey,diploid,"40° 23'37.13""N","32° 59'7.32""E",40.393611,32.985278,1596,"4,3",Outside the U.S. Hikmet Budak (budak@sabanciuniv.edu) In the U.S. John Vogel (John.Vogel@ars.usda.gov) ,,,,,,,,,,
